time	L1	L2	L3	L4
2018-01-28 03:00:00	118	99	87	102
2018-01-28 03:30:00	118	99	87	102
2018-01-28 03:30:00	118	99	87	102
2018-01-28 03:30:00	118	99	87	102
2018-01-28 03:30:00	118	99	87	102
2018-01-28 04:00:00	117	99	87	102
2018-01-28 04:00:00	117	99	87	102
2018-01-28 04:00:00	117	99	87	102
2018-01-28 04:00:00	117	99	87	102
2018-01-28 04:30:00	117	99	87	102
2018-01-28 04:30:00	117	99	87	102
2018-01-28 04:30:00	117	99	87	102
2018-01-28 04:30:00	117	99	87	102
2018-01-28 05:00:00	117	99	87	102
2018-01-28 05:00:00	117	99	87	102
2018-01-28 05:00:00	117	99	87	102
2018-01-28 05:00:00	117	99	87	102
2018-01-28 05:30:00	117	99	87	102
2018-01-28 05:30:00	117	99	87	102
2018-01-28 05:30:00	117	99	87	102
2018-01-28 05:30:00	117	99	87	102
2018-01-28 06:00:00	117	99	87	102
2018-01-28 06:00:00	117	99	87	102
2018-01-28 06:00:00	117	99	87	102
2018-01-28 06:00:00	117	99	87	102
2018-01-28 06:30:00	117	99	87	102
2018-01-28 06:30:00	117	99	87	102
2018-01-28 06:30:00	117	99	87	102
2018-01-28 06:30:00	117	99	87	102
2018-01-28 07:00:00	117	99	87	102
2018-01-28 07:00:00	117	99	87	102
2018-01-28 07:00:00	117	99	87	102
2018-01-28 07:00:00	117	99	87	102
2018-01-28 07:30:00	117	99	87	102
2018-01-28 07:30:00	117	99	87	102
2018-01-28 07:30:00	117	99	87	102
2018-01-28 07:30:00	117	99	87	102
2018-01-28 09:30:00	117	99	87	102
2018-01-28 09:30:00	117	99	87	102
2018-01-28 09:30:00	117	99	87	102
2018-01-28 09:30:00	117	99	87	102
2018-01-28 10:00:00	117	99	87	102
2018-01-28 10:00:00	117	99	87	102
2018-01-28 10:00:00	117	99	87	102
2018-01-28 10:00:00	117	99	87	102
2018-01-28 10:30:00	117	99	87	102
2018-01-28 10:30:00	117	99	87	102
2018-01-28 10:30:00	117	99	87	102
2018-01-28 10:30:00	117	99	87	102
2018-01-28 11:00:00	117	99	87	102
2018-01-28 11:00:00	117	99	87	102
2018-01-28 11:00:00	117	99	87	102
2018-01-28 11:00:00	117	99	87	102
2018-01-28 11:30:00	117	99	87	102
2018-01-28 11:30:00	117	99	87	102
2018-01-28 11:30:00	117	99	87	102
2018-01-28 11:30:00	117	99	87	102
2018-01-28 12:00:00	117	99	87	102
2018-01-28 12:00:00	117	99	87	102
2018-01-28 12:00:00	117	99	87	102
2018-01-28 12:00:00	117	99	87	102
2018-01-28 12:30:00	117	99	87	102
2018-01-28 12:30:00	117	99	87	102
2018-01-28 12:30:00	117	99	87	102
2018-01-28 12:30:00	117	99	87	102
2018-01-28 13:00:00	117	99	87	102
2018-01-28 13:00:00	117	99	87	102
2018-01-28 13:00:00	117	99	87	102
2018-01-28 13:00:00	117	99	87	102
2018-01-28 13:30:00	117	99	87	102
2018-01-28 13:30:00	117	99	87	102
2018-01-28 13:30:00	117	99	87	102
2018-01-28 13:30:00	117	99	87	102
2018-01-28 14:00:00	117	99	87	102
2018-01-28 14:00:00	117	99	87	102
2018-01-28 14:00:00	117	99	87	102
2018-01-28 14:00:00	117	99	87	102
2018-01-28 14:30:00	117	99	87	102
2018-01-28 14:30:00	117	99	87	102
2018-01-28 14:30:00	117	99	87	102
2018-01-28 14:30:00	117	99	87	102
