time	L1	L2	L3	L4	L5	L6
2018-01-27 03:00:00	45	105	15	61	41	60
2018-01-27 03:30:00	45	105	15	61	41	60
2018-01-27 03:30:00	45	105	15	61	41	60
2018-01-27 03:30:00	45	105	15	61	41	60
2018-01-27 03:30:00	45	105	15	61	41	60
2018-01-27 03:30:00	45	105	15	61	41	60
2018-01-27 03:30:00	45	105	15	61	41	60
2018-01-27 04:00:00	45	105	15	61	41	60
2018-01-27 04:00:00	45	105	15	61	41	60
2018-01-27 04:00:00	45	105	15	61	41	60
2018-01-27 04:00:00	45	105	15	61	41	60
2018-01-27 04:00:00	45	105	15	61	41	60
2018-01-27 04:00:00	45	105	15	61	41	60
2018-01-27 04:30:00	45	105	15	61	41	60
2018-01-27 04:30:00	45	105	15	61	41	60
2018-01-27 04:30:00	45	105	15	61	41	60
2018-01-27 04:30:00	45	105	15	61	41	60
2018-01-27 04:30:00	45	105	15	61	41	60
2018-01-27 04:30:00	45	105	15	61	41	60
2018-01-27 05:00:00	45	105	15	61	41	60
2018-01-27 05:00:00	45	105	15	61	41	60
2018-01-27 05:00:00	45	105	15	61	41	60
2018-01-27 05:00:00	45	105	15	61	41	60
2018-01-27 05:00:00	45	105	15	61	41	60
2018-01-27 05:00:00	45	105	15	61	41	60
2018-01-27 05:30:00	45	105	15	61	41	60
2018-01-27 05:30:00	45	105	15	61	41	60
2018-01-27 05:30:00	45	105	15	61	41	60
2018-01-27 05:30:00	45	105	15	61	41	60
2018-01-27 05:30:00	45	105	15	61	41	60
2018-01-27 05:30:00	45	105	15	61	41	60
2018-01-27 06:00:00	45	105	15	61	41	60
2018-01-27 06:00:00	45	105	15	61	41	60
2018-01-27 06:00:00	45	105	15	61	41	60
2018-01-27 06:00:00	45	105	15	61	41	60
2018-01-27 06:00:00	45	105	15	61	41	60
2018-01-27 06:00:00	45	105	15	61	41	60
2018-01-27 06:30:00	45	105	15	61	41	60
2018-01-27 06:30:00	45	105	15	61	41	60
2018-01-27 06:30:00	45	105	15	61	41	60
2018-01-27 06:30:00	45	105	15	61	41	60
2018-01-27 06:30:00	45	105	15	61	41	60
2018-01-27 06:30:00	45	105	15	61	41	60
2018-01-27 07:00:00	45	105	15	61	41	60
2018-01-27 07:00:00	45	105	15	61	41	60
2018-01-27 07:00:00	45	105	15	61	41	60
2018-01-27 07:00:00	45	105	15	61	41	60
2018-01-27 07:00:00	45	105	15	61	41	60
2018-01-27 07:00:00	45	105	15	61	41	60
2018-01-27 07:30:00	45	105	15	61	41	60
2018-01-27 07:30:00	45	105	15	61	41	60
2018-01-27 07:30:00	45	105	15	61	41	60
2018-01-27 07:30:00	45	105	15	61	41	60
2018-01-27 07:30:00	45	105	15	61	41	60
2018-01-27 07:30:00	45	105	15	61	41	60
2018-01-27 09:30:00	32	85	5	36	22	41
2018-01-27 09:30:00	32	85	5	36	22	41
2018-01-27 09:30:00	32	85	5	36	22	41
2018-01-27 09:30:00	32	85	5	36	22	41
2018-01-27 09:30:00	32	85	5	36	22	41
2018-01-27 09:30:00	32	85	5	36	22	41
2018-01-27 10:00:00	32	86	5	36	22	41
